sent_id,id,tb,lemma,pos,polarity,mood,person,number,case,verb form,tense,aspect,pronominal type,possessor's person,possessor's number,evidentiality,voice,numeral type
ins_1051,6,v2.11,.,punctuation,,,,,,,,,,,,,,
pop_315,1,v2.8,"""",punctuation,,,,,,,,,,,,,,
pop_315,2,v2.8,anne,noun,,,third person,plural number,nominative,,,,,,,,,
pop_315,3,v2.8,"Günü""n",noun,,,third person,singular number,nominative,,,,,third person,singular number,,,
pop_315,4,v2.8,gerek,adjective,,,third person,singular number,nominative,,,,,,,,,
pop_315,5,v2.8,gör,noun,,,,,,,,,,,,,,
pop_315,6,v2.8,",",punctuation,,,,,,,,,,,,,,
pop_315,7,v2.8,o,determiner,,,,,,,,,,,,,,
pop_315,8,v2.8,gün,noun,,,third person,singular number,nominative,,,,,,,,,
pop_315,9,v2.8,gel,verb,positive,,third person,singular number,,,past tense,perfect aspect,,,,first hand,,
pop_315,10,v2.8,mi,auxiliary verb,,,third person,singular number,,,present tense,imperfect aspect,,,,,,
pop_315,11,v2.8,fark,noun,,,third person,singular number,locative,,,,,third person,singular number,,,
pop_315,12,v2.8,değ,verb,positive,,third person,singular number,,,past tense,,,,,non-first hand,passive voice,
pop_315,13,v2.8,hava,noun,,,third person,plural number,dative,,,,,third person,singular number,,,
pop_315,14,v2.8,gir,verb,positive,,third person,singular number,,,present tense,habitual aspect,,,,first hand,,
pop_315,15,v2.8,.,punctuation,,,,,,,,,,,,,,
pop_315,1,v2.11,"""",punctuation,,,,,,,,,,,,,,
pop_315,2,v2.11,anne,noun,,,third person,plural number,nominative,,,,,,,,,
pop_315,3,v2.11,"Günü""n",noun,,,third person,singular number,nominative,,,,,third person,singular number,,,
pop_315,4,v2.11,gerek,adjective,,,,,,,,,,,,,,
pop_315,5,v2.11,gör,verb,positive,,third person,singular number,ablative,participle,past tense,perfect aspect,,third person,singular number,,,
pop_315,6,v2.11,",",punctuation,,,,,,,,,,,,,,
pop_315,7,v2.11,o,determiner,,,,,,,,,,,,,,
pop_315,8,v2.11,gün,noun,,,third person,singular number,nominative,,,,,,,,,
pop_315,9,v2.11,gel,verb,positive,,third person,singular number,,,past tense,perfect aspect,,,,first hand,,
pop_315,10,v2.11,mi,auxiliary verb,,,third person,singular number,,,present tense,imperfect aspect,,,,,,
pop_315,11,v2.11,fark,noun,,,third person,singular number,locative,,,,,third person,singular number,,,
pop_315,12,v2.11,değ,verb,positive,,third person,singular number,,,past tense,,,,,non-first hand,passive voice,
pop_315,13,v2.11,hava,noun,,,third person,plural number,dative,,,,,third person,singular number,,,
pop_315,14,v2.11,gir,verb,positive,,third person,singular number,,,present tense,habitual aspect,,,,first hand,,
pop_315,15,v2.11,.,punctuation,,,,,,,,,,,,,,
bio_1210,1,v2.11,ben,pronoun,,,first person,singular number,dative,,,,personal,,,,,
bio_1210,2,v2.11,dön,verb,positive,,,,,converb,,,,,,,,
bio_1210,3,v2.11,",",punctuation,,,,,,,,,,,,,,
bio_1210,4,v2.11,Afer,interjection,,,,,,,,,,,,,,
bio_1210,5,v2.11,LAN,interjection,,,,,,,,,,,,,,
bio_1210,6,v2.11,güzel,adjective,,,,,,,,,,,,,,
bio_1210,7,v2.11,iş,noun,,,third person,singular number,accusative,,,,,,,,,
bio_1210,8-9,v2.11,,,,,,,,,,,,,,,,
bio_1210,8,v2.11,becer,verb,positive,,,,,participle,,habitual aspect,,,,,,
bio_1210,9,v2.11,y,auxiliary verb,positive,,second person,singular number,,,past tense,,,,,first hand,,
bio_1210,10,v2.11,...,punctuation,,,,,,,,,,,,,,
ess_1248,1,v2.8,bırak,verb,negative,,third person,singular number,,,present tense,habitual aspect,,,,,,
ess_1248,2,v2.8,de,noun,,,,,,,,,,,,,,
ess_1248,3,v2.8,çok,noun,,,third person,singular number,ablative,,,,,,,,,
ess_1248,4,v2.8,TERKETTİ,verb,positive,indicative,third person,singular number,,,past tense,perfect aspect,,,,,causative voice,
ess_1248,5,v2.8,",",punctuation,,,,,,,,,,,,,,
ess_1248,6,v2.8,git,verb,negative,,third person,singular number,,,present tense,habitual aspect,,,,,,
ess_1248,7,v2.8,sandık,verb,,,third person,plural number,nominative,,,,,first person,singular number,,,
ess_1248,8,v2.8,MEÇHUL,proper noun,,,third person,singular number,nominative,,,,,,,,,
ess_1248,9,v2.8,.,punctuation,,,,,,,,,,,,,,
ess_1248,1,v2.11,bırak,verb,negative,,third person,singular number,,participle,present tense,habitual aspect,,,,,,
ess_1248,2,v2.11,de,verb,positive,,third person,plural number,nominative,participle,past tense,perfect aspect,,first person,singular number,,,
ess_1248,3,v2.11,çok,noun,,,third person,singular number,ablative,,,,,,,,,
ess_1248,4,v2.11,TERKETTİ,verb,positive,indicative,third person,singular number,,,past tense,perfect aspect,,,,,causative voice,
ess_1248,5,v2.11,",",punctuation,,,,,,,,,,,,,,
ess_1248,6,v2.11,git,verb,negative,,third person,singular number,,participle,present tense,habitual aspect,,,,,,
ess_1248,7,v2.11,sandık,verb,,,third person,plural number,nominative,,,,,first person,singular number,,,
ess_1248,8,v2.11,MEÇHUL,noun,,,third person,singular number,nominative,,,,,,,,,
ess_1248,9,v2.11,.,punctuation,,,,,,,,,,,,,,
ess_1197,1,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_1197,2,v2.11,inan,verb,positive,imperative,second person,singular number,,,,,,,,,,
ess_1197,3,v2.11,ben,pronoun,,,first person,singular number,accusative,,,,personal,,,,,
ess_1197,4,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_1197,5,v2.11,de,verb,positive,,third person,singular number,,,present tense,imperfect aspect,,,,,,
ess_1197,6,v2.11,",",punctuation,,,,,,,,,,,,,,
ess_1197,7,v2.11,"""",punctuation,,,,,,,,,,,,,,
ess_1197,8,v2.11,o,noun,,,third person,singular number,nominative,,,,,,,,,
ess_1197,9-10,v2.11,,,,,,,,,,,,,,,,
ess_1197,9,v2.11,yaşa,verb,positive,,,,,participle,present tense,habitual aspect,,,,,,
ess_1197,10,v2.11,y,auxiliary verb,positive,conditional,third person,singular number,,,,,,,,,,
ess_1197,11,v2.11,san,pronoun,,,third person,singular number,dative,,,,personal,,,,,
ess_1197,12,v2.11,inan,verb,positive,,first person,singular number,,,future tense,prospective aspect,,,,,,
ess_1197,13,v2.11,.,punctuation,,,,,,,,,,,,,,
pop_1600,1,v2.8,"""İs",noun,,,third person,singular number,nominative,,,,,,,,,
pop_1600,2,v2.8,...,punctuation,,,,,,,,,,,,,,
pop_1600,3,v2.8,yorgun,noun,,,third person,singular number,nominative,,,,,first person,singular number,,,
pop_1600,4,v2.8,b,interjection,,,,,,,,,,,,,,
pop_1600,5,v2.8,!,punctuation,,,,,,,,,,,,,,
pop_1600,6,v2.8,"..""",punctuation,,,,,,,,,,,,,,
ins_793,1,v2.11,bu,pronoun,,,third person,singular number,accusative,,,,demonstrative pronoun,,,,,
ins_793,2,v2.11,söyle,verb,positive,,third person,singular number,nominative,verbal noun,,,,,,,,
ins_793,3-4,v2.11,,,,,,,,,,,,,,,,
ins_793,3,v2.11,iste,verb,positive,,,,,participle,,perfect aspect,,,,,,
ins_793,4,v2.11,y,auxiliary verb,positive,,first person,singular number,,,past tense,,,,,first hand,,
ins_793,5,v2.11,.,punctuation,,,,,,,,,,,,,,
news_564,1,v2.8,oluş,verb,positive,,,,,participle,present tense,,,,,,passive voice,
news_564,2,v2.8,metin,noun,,,third person,singular number,genitive,,,,,,,,,
news_564,3,v2.8,izle,noun,positive,,third person,plural number,nominative,,,,,,,,,
news_564,4,v2.8,taraf,noun,,,third person,singular number,ablative,,,,,third person,singular number,,,
news_564,5,v2.8,anlam,verb,positive,,third person,singular number,nominative,,,,,third person,singular number,,passive voice,
news_564,6,v2.8,i,auxiliary verb,positive,conditional,third person,singular number,,,,,,,,,,
news_564,7,v2.8,zaman,noun,,,third person,singular number,instrumental,,,,,,,,,
news_564,8,v2.8,ol,verb,positive,,third person,singular number,,,present tense,progressive aspect,,,,,,
news_564,9,v2.8,.,punctuation,,,,,,,,,,,,,,
