sent_id,id,tb,lemma,pos,case,number,person,possessor's number,possessor's person,polarity,tense,aspect,verb form,evidentiality,mood,voice,numeral type,pronominal type,is this an echo word or a reduplicative?
ins_1863,15,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_1863,1,v2.11,böyle,adverb,,,,,,,,,,,,,,,
ins_1863,2,v2.11,su,noun,accusative,plural number,third person,singular number,third person,,,,,,,,,,
ins_1863,3,v2.11,demir,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1863,4,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
ins_1863,5,v2.11,manganez,noun,ablative,singular number,third person,,,,,,,,,,,,
ins_1863,6,v2.11,kurtar,verb,nominative,singular number,third person,,,positive,,,verbal noun,,,,,,
ins_1863,7,v2.11,için,adposition,,,,,,,,,,,,,,,
ins_1863,8,v2.11,en,adverb,,,,,,,,,,,,,,,
ins_1863,9,v2.11,basit,adjective,,,,,,,,,,,,,,,
ins_1863,10,v2.11,usul,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1863,11,v2.11,",",punctuation,,,,,,,,,,,,,,,
ins_1863,12,v2.11,su,noun,accusative,plural number,third person,,,,,,,,,,,,
ins_1863,13-14,v2.11,,,,,,,,,,,,,,,,,
ins_1863,13,v2.11,havalan,verb,nominative,singular number,third person,,,positive,,,verbal noun,,,causative voice,,,
ins_1863,14,v2.11,y,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,generalized modality,,,,
ins_1863,15,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1401,1,v2.8,ama,coordinating conjunction,,,,,,,,,,,,,,,
bio_1401,2,v2.8,on,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,3,v2.8,üç,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,4,v2.8,on,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,5,v2.8,dört,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,6,v2.8,yaş,verb,nominative,,,,,positive,present tense,perfect aspect,verbal noun,,indicative,,,,
bio_1401,7,v2.8,gel,verb,locative,singular number,third person,singular number,first person,positive,past tense,perfect aspect,participle,,,,,,
bio_1401,8,v2.8,",",punctuation,,,,,,,,,,,,,,,
bio_1401,9,v2.8,gen,adverb,,,,,,,,,,,,,,,
bio_1401,10,v2.8,ev,noun,locative,singular number,third person,,,,,,,,,,,,
bio_1401,11,v2.8,konuş,noun,ablative,plural number,third person,,,positive,,,,,,,,,
bio_1401,12,v2.8,",",punctuation,,,,,,,,,,,,,,,
bio_1401,13,v2.8,bil,verb,,singular number,first person,,,positive,past tense,progressive aspect,,first hand,,,,,
bio_1401,14,v2.8,bu,pronoun,genitive,plural number,third person,,,,,,,,,,,,
bio_1401,15,v2.8,ol,verb,accusative,singular number,third person,singular number,third person,positive,past tense,perfect aspect,participle,,,,,,
bio_1401,16,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_1401,1,v2.11,ama,coordinating conjunction,,,,,,,,,,,,,,,
bio_1401,2,v2.11,on,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,3,v2.11,üç,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,4,v2.11,on,numeral,,,,,,,,,,,,,cardinal number,,
bio_1401,5,v2.11,dört,numeral,,singular number,third person,singular number,first person,,,,,,,,cardinal number,,
bio_1401,6,v2.11,yaş,verb,nominative,,,,,,,,,,,,,,
bio_1401,7,v2.11,gel,verb,locative,singular number,third person,singular number,first person,positive,past tense,perfect aspect,participle,,,,,,
bio_1401,8,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_1401,9,v2.11,gene,adverb,,,,,,,,,,,,,,,
bio_1401,10-11,v2.11,,,,,,,,,,,,,,,,,
bio_1401,10,v2.11,ev,noun,locative,singular number,third person,,,,,,,,,,,,
bio_1401,11,v2.11,ki,particle,,,,,,,,,,,,,,,
bio_1401,12,v2.11,konuşma,noun,ablative,plural number,third person,,,,,,,,,,,,
bio_1401,13,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_1401,14-15,v2.11,,,,,,,,,,,,,,,,,
bio_1401,14,v2.11,bil,verb,,,,,,positive,,imperfect aspect,participle,,,,,,
bio_1401,15,v2.11,y,auxiliary verb,,singular number,first person,,,positive,past tense,,,first hand,,,,,
bio_1401,16,v2.11,bu,pronoun,genitive,plural number,third person,,,,,,,,,,,demonstrative pronoun,
bio_1401,17,v2.11,ol,verb,accusative,singular number,third person,singular number,third person,positive,past tense,perfect aspect,participle,,,,,,
bio_1401,18,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_316,1,v2.8,anlat,verb,accusative,singular number,third person,,,positive,,,,,,,,,
ess_316,2,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,3,v2.8,uyan,verb,accusative,singular number,third person,,,positive,,,,,,causative voice,,,
ess_316,4,v2.8,sür,verb,nominative,,,,,positive,,,,,potential,causative voice,,,
ess_316,5,v2.8,için,adposition,,,,,,,,,,,,,,,
ess_316,6,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,7,v2.8,ayak,noun,locative,singular number,third person,,,,,,,,,,,,
ess_316,8,v2.8,-,punctuation,,,,,,,,,,,,,,,
ess_316,9,v2.8,diri,pronoun,nominative,singular number,third person,singular number,third person,,,,,,,,,indefinite pronoun,
ess_316,10,v2.8,kal,verb,accusative,singular number,third person,,,positive,,,,,,,,,
ess_316,11,v2.8,becer,verb,nominative,singular number,third person,,,positive,,,,,,,,,
ess_316,12,v2.8,zorunlu,noun,accusative,singular number,third person,singular number,third person,,,,,,,,,,
ess_316,13,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_316,14,v2.8,sorumlu,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ess_316,15,v2.8,duy,verb,ablative,,,,,positive,,,,,,,,,
ess_316,16,v2.8,...,punctuation,,,,,,,,,,,,,,,
ess_316,1,v2.11,anlat,verb,accusative,singular number,third person,,,positive,,,verbal noun,,,,,,
ess_316,2,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_316,3,v2.11,uyan,verb,accusative,singular number,third person,,,positive,,,verbal noun,,,causative voice,,,
ess_316,4,v2.11,sür,verb,nominative,singular number,third person,,,positive,,,verbal noun,,potential,causative voice,,,
ess_316,5,v2.11,için,adposition,,,,,,,,,,,,,,,
ess_316,6,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_316,7,v2.11,ayak,noun,locative,singular number,third person,,,,,,,,,,,,
ess_316,8,v2.11,-,punctuation,,,,,,,,,,,,,,,
ess_316,9,v2.11,diri,pronoun,nominative,singular number,third person,singular number,third person,,,,,,,,,indefinite pronoun,
ess_316,10,v2.11,kal,verb,accusative,singular number,third person,,,positive,,,verbal noun,,,,,,
ess_316,11,v2.11,becer,verb,nominative,singular number,third person,,,positive,,,,,,,,,
ess_316,12,v2.11,zorunlulık,noun,accusative,singular number,third person,singular number,third person,,,,,,,,,,
ess_316,13,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_316,14,v2.11,sorumluluk,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ess_316,15,v2.11,duy,verb,ablative,singular number,third person,,,positive,,,verbal noun,,,,,,
ess_316,16,v2.11,...,punctuation,,,,,,,,,,,,,,,
pop_795,1,v2.8,aşağı,adverb,,,,,,,,,,,,,,,
pop_795,2,v2.8,yukarı,adjective,nominative,singular number,third person,,,,,,,,,,,,
pop_795,3,v2.8,böyle,adjective,,,,,,,,,,,,,,,
pop_795,4,v2.8,bir,determiner,,,,,,,,,,,,,,,
pop_795,5,v2.8,şey,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_795,6,v2.8,;,punctuation,,,,,,,,,,,,,,,
pop_795,7,v2.8,detay,noun,nominative,plural number,third person,singular number,third person,,,,,,,,,,
pop_795,8,v2.8,atla,verb,,singular number,third person,,,positive,past tense,,,non-first hand,,,,,
pop_795,9,v2.8,ol,verb,,singular number,first person,,,positive,present tense,habitual aspect,,,potential,,,,
pop_795,10,v2.8,zira,adverb,,,,,,,,,,,,,,,
pop_795,11,v2.8,çok,adverb,,,,,,,,,,,,,,,
pop_795,12,v2.8,uzun,adjective,,,,,,,,,,,,,,,
pop_795,13,v2.8,yıl,adverb,,,,,,,,,,,,,,,
pop_795,14,v2.8,bu,determiner,,,,,,,,,,,,,,,
pop_795,15,v2.8,faaliyet,noun,locative,singular number,third person,,,,,,,,,,,,
pop_795,16,v2.8,bulun,verb,,singular number,first person,,,negative,present tense,progressive aspect,,,,,,,
pop_795,17,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_795,1,v2.11,aşağı,adverb,,,,,,,,,,,,,,,
pop_795,2,v2.11,yukarı,adjective,nominative,singular number,third person,,,,,,,,,,,,
pop_795,3,v2.11,böyle,adjective,,,,,,,,,,,,,,,
pop_795,4,v2.11,bir,determiner,,,,,,,,,,,,,,,
pop_795,5,v2.11,şey,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_795,6,v2.11,;,punctuation,,,,,,,,,,,,,,,
pop_795,7,v2.11,detay,noun,accusative,plural number,third person,singular number,third person,,,,,,,,,,
pop_795,8,v2.11,atla,verb,,singular number,third person,,,positive,past tense,perfect aspect,participle,,,,,,
pop_795,9,v2.11,ol,verb,,singular number,first person,,,positive,present tense,habitual aspect,,,potential,,,,
pop_795,10,v2.11,zira,adverb,,,,,,,,,,,,,,,
pop_795,11,v2.11,çok,adverb,,,,,,,,,,,,,,,
pop_795,12,v2.11,uzun,adjective,,,,,,,,,,,,,,,
pop_795,13,v2.11,yıl,noun,nominative,plural number,third person,,,,,,,,,,,,
pop_795,14,v2.11,bu,determiner,,,,,,,,,,,,,,,
pop_795,15,v2.11,faaliyet,noun,locative,singular number,third person,,,,,,,,,,,,
pop_795,16,v2.11,bulun,verb,,singular number,first person,,,negative,present tense,imperfect aspect,,,,,,,
pop_795,17,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_976,1,v2.8,o,pronoun,genitive,singular number,third person,,,,,,,,,,,,
ess_976,2,v2.8,kadar,adposition,,,,,,,,,,,,,,,
ess_976,3,v2.8,renk,adjective,nominative,singular number,third person,,,,,,,,,,,,
ess_976,4,v2.8,değil,verb,nominative,singular number,third person,singular number,first person,,,,,,,,,,
ess_976,5,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_976,1,v2.11,o,pronoun,genitive,singular number,third person,,,,,,,,,,,,
ess_976,2,v2.11,kadar,adposition,,,,,,,,,,,,,,,
ess_976,3,v2.11,renkli,adjective,,,,,,,,,,,,,,,
ess_976,4,v2.11,değil,auxiliary verb,,singular number,first person,,,negative,present tense,,,,,,,,
ess_976,5,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_613,1,v2.8,Müthiş,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,2,v2.8,bir,determiner,,,,,,,,,,,,,,,
ins_613,3,v2.8,güreş,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,4,v2.8,ol,verb,,,,,,positive,present tense,,participle,,,,,,
ins_613,5,v2.8,Süleyman,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,6,v2.8,bey,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,7,v2.8,hiç,adverb,,,,,,,,,,,,,,,
ins_613,8,v2.8,kuşku,adjective,nominative,singular number,third person,,,,,,,,,,,,
ins_613,9,v2.8,fark,adjective,nominative,singular number,third person,,,,,,,,,,,,
ins_613,10,v2.8,koşul,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_613,11,v2.8,alt,adjective,locative,singular number,third person,singular number,third person,,,,,,,,,,
ins_613,12,v2.8,sonra,adposition,nominative,singular number,third person,,,,,,,,,,,,
ins_613,13,v2.8,yıl,noun,locative,plural number,third person,,,,,,,,,,,,
ins_613,14,v2.8,Dünya,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,15,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
ins_613,16,v2.8,hat,coordinating conjunction,,,,,,,,,,,,,,,
ins_613,17,v2.8,olimpiyat,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,18,v2.8,şampiyon,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ins_613,19,v2.8,ol,verb,,singular number,third person,,,positive,future tense,imperfect aspect,,,potential,,,,
ins_613,20,v2.8,yetenek,adjective,dative,singular number,third person,,,,,,,,,,,,
ins_613,21,v2.8,de,coordinating conjunction,,,,,,,,,,,,,,,
ins_613,22,v2.8,sahip,verb,nominative,singular number,third person,,,,past tense,,,non-first hand,,,,,
ins_613,23,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_613,1,v2.11,Müthiş,adjective,,,,,,,,,,,,,,,
ins_613,2,v2.11,bir,determiner,,,,,,,,,,,,,,,
ins_613,3,v2.11,güreşçi,noun,accusative,singular number,third person,,,,,,,,,,,,
ins_613,4,v2.11,ol,auxiliary verb,,,,,,positive,present tense,,participle,,,,,,
ins_613,5,v2.11,Süleyman,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,6,v2.11,bey,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,7,v2.11,hiç,adverb,,,,,,,,,,,,,,,
ins_613,8,v2.11,kuşkusuz,adverb,,,,,,,,,,,,,,,
ins_613,9,v2.11,farklı,adjective,,,,,,,,,,,,,,,
ins_613,10,v2.11,koşul,noun,nominative,plural number,third person,,,,,,,,,,,,
ins_613,11,v2.11,alt,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
ins_613,12,v2.11,sonraki,adjective,,,,,,,,,,,,,,,
ins_613,13,v2.11,yıl,noun,locative,plural number,third person,,,,,,,,,,,,
ins_613,14,v2.11,dünya,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,15,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
ins_613,16,v2.11,hatta,adverb,,,,,,,,,,,,,,,
ins_613,17,v2.11,olimpiyat,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_613,18,v2.11,şampiyon,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
ins_613,19,v2.11,ol,verb,,,,,,positive,future tense,prospective aspect,participle,,potential,,,,
ins_613,20,v2.11,yetenek,noun,dative,singular number,third person,,,,,,,,,,,,
ins_613,21,v2.11,de,particle,,,,,,,,,,,,,,,
ins_613,22-23,v2.11,,,,,,,,,,,,,,,,,
ins_613,22,v2.11,sahip,adjective,,,,,,,,,,,,,,,
ins_613,23,v2.11,y,auxiliary verb,,singular number,third person,,,positive,past tense,perfect aspect,,non-first hand,,,,,
ins_613,24,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_85,1,v2.8,insan,noun,nominative,plural number,third person,,,,,,,,,,,,
pop_85,2,v2.8,fark,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_85,3,v2.8,bile,adverb,,,,,,,,,,,,,,,
pop_85,4,v2.8,ol,verb,ablative,singular number,third person,,,positive,,,,,,,,,
pop_85,5,v2.8,",",punctuation,,,,,,,,,,,,,,,
pop_85,6,v2.8,yaşam,noun,accusative,plural number,third person,plural number,third person,,,,,,,,,,
pop_85,7,v2.8,sanal,adjective,,,,,,,,,,,,,,,
pop_85,8,v2.8,ortam,noun,locative,singular number,third person,,,,,,,,,,,,
pop_85,9,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_85,10,v2.8,sanal,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_85,11,v2.8,insan,noun,instrumental,plural number,third person,,,,,,,,,,,,
pop_85,12,v2.8,yaşa,verb,dative,singular number,third person,,,positive,,,,,,,,,
pop_85,13,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_85,14,v2.8,paylaş,noun,dative,singular number,third person,,,positive,,,,,,,,,
pop_85,15,v2.8,başla,verb,,plural number,third person,,,positive,present tense,habitual aspect,,,,,,,
pop_85,16,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_85,1,v2.11,insan,noun,nominative,plural number,third person,,,,,,,,,,,,
pop_85,2,v2.11,fark,noun,locative,singular number,third person,singular number,third person,,,,,,,,,,
pop_85,3,v2.11,bile,adverb,,,,,,,,,,,,,,,
pop_85,4,v2.11,ol,verb,,singular number,third person,,,negative,,,converb,,,,,,
pop_85,5,v2.11,",",punctuation,,,,,,,,,,,,,,,
pop_85,6,v2.11,yaşam,noun,accusative,plural number,third person,plural number,third person,,,,,,,,,,
pop_85,7,v2.11,sanal,adjective,,,,,,,,,,,,,,,
pop_85,8,v2.11,ortam,noun,locative,singular number,third person,,,,,,,,,,,,
pop_85,9,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_85,10,v2.11,sanal,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_85,11,v2.11,insan,noun,instrumental,plural number,third person,,,,,,,,,,,,
pop_85,12,v2.11,yaşa,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
pop_85,13,v2.11,ve,coordinating conjunction,,,,,,,,,,,,,,,
pop_85,14,v2.11,paylaş,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
pop_85,15,v2.11,başla,verb,,plural number,third person,,,positive,present tense,habitual aspect,,,,,,,
pop_85,16,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_1514,1,v2.8,kimse,noun,genitive,singular number,third person,,,,,,,,,,,,
ess_1514,2,v2.8,saçı,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1514,3-4,v2.8,,,,,,,,,,,,,,,,,
ess_1514,3,v2.8,dök,verb,,singular number,third person,,,negative,present tense,habitual aspect,,,,passive voice,,,
ess_1514,4,v2.8,i,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,conditional,,,,
ess_1514,5,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_1514,6,v2.8,o,determiner,,,,,,,,,,,,,,,
ess_1514,7,v2.8,ürün,noun,accusative,singular number,third person,,,,,,,,,,,,
ess_1514,8,v2.8,kullan,verb,dative,singular number,third person,,,positive,,,,,,,,,
ess_1514,9,v2.8,ne,pronoun,nominative,singular number,third person,,,,,,,,,,,,
ess_1514,10,v2.8,hacet,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1514,11,v2.8,!,punctuation,,,,,,,,,,,,,,,
ess_1514,1,v2.11,kimse,noun,genitive,singular number,third person,,,,,,,,,,,,
ess_1514,2,v2.11,saçı,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1514,3-4,v2.11,,,,,,,,,,,,,,,,,
ess_1514,3,v2.11,dök,verb,,singular number,third person,,,negative,present tense,habitual aspect,,,,passive voice,,,
ess_1514,4,v2.11,y,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,conditional,,,,
ess_1514,5,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_1514,6,v2.11,o,determiner,,,,,,,,,,,,,,,
ess_1514,7,v2.11,ürün,noun,accusative,singular number,third person,,,,,,,,,,,,
ess_1514,8,v2.11,kullan,verb,dative,singular number,third person,,,positive,,,verbal noun,,,,,,
ess_1514,9,v2.11,ne,pronoun,nominative,singular number,third person,,,,,,,,,,,"interrogative pronoun, determiner, numeral or adverb",
ess_1514,10,v2.11,hacet,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1514,11,v2.11,!,punctuation,,,,,,,,,,,,,,,
news_1434,1,v2.8,o,pronoun,genitive,plural number,third person,,,,,,,,,,,,
news_1434,2,v2.8,değiş,noun,nominative,plural number,third person,singular number,third person,negative,,,,,,,,,
news_1434,3,v2.8,",",punctuation,,,,,,,,,,,,,,,
news_1434,4,v2.8,iş,adverb,,,,,,,,,,,,,,,
news_1434,5,v2.8,bir,determiner,,,,,,,,,,,,,,,
news_1434,6,v2.8,arpa,noun,nominative,singular number,third person,,,,,,,,,,,,
news_1434,7,v2.8,boy,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
news_1434,8,v2.8,dâhi,adjective,nominative,singular number,third person,,,,,,,,,,,,
news_1434,9,v2.8,ilerle,verb,,,,,,negative,present tense,,participle,,,,,,
news_1434,10,v2.8,Türkiye,noun,genitive,singular number,third person,plural number,first person,,,,,,,,,,
news_1434,11,v2.8,kara,adjective,nominative,singular number,third person,,,,,,,,,,,,
news_1434,12,v2.8,baht,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
news_1434,13,v2.8,.,punctuation,,,,,,,,,,,,,,,
news_1434,1,v2.11,o,pronoun,genitive,plural number,third person,,,,,,,,,,,,
news_1434,2,v2.11,değiş,verb,nominative,plural number,third person,singular number,third person,negative,,,verbal noun,,,,,,
news_1434,3,v2.11,",",punctuation,,,,,,,,,,,,,,,
news_1434,4,v2.11,işte,adverb,,,,,,,,,,,,,,,
news_1434,5,v2.11,bir,determiner,,,,,,,,,,,,,,,
news_1434,6,v2.11,arpa,noun,nominative,singular number,third person,,,,,,,,,,,,
news_1434,7,v2.11,boy,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
news_1434,8,v2.11,dâhi,adverb,,,,,,,,,,,,,,,
news_1434,9,v2.11,ilerle,verb,,,,,,negative,present tense,,participle,,,,,,
news_1434,10,v2.11,Türkiye,proper noun,genitive,singular number,third person,plural number,first person,,,,,,,,,,
news_1434,11,v2.11,kara,adjective,,,,,,,,,,,,,,,
news_1434,12-13,v2.11,,,,,,,,,,,,,,,,,
news_1434,12,v2.11,baht,noun,nominative,singular number,third person,singular number,third person,,,,,,,,,,
news_1434,13,v2.11,i,auxiliary verb,,singular number,third person,,,,present tense,perfect aspect,,,generalized modality,,,,
news_1434,14,v2.11,.,punctuation,,,,,,,,,,,,,,,
news_1344,1,v2.8,bu,determiner,,,,,,,,,,,,,,,
news_1344,2,v2.8,karar,noun,instrumental,singular number,third person,,,,,,,,,,,,
news_1344,3,v2.8,polis,noun,dative,singular number,third person,,,,,,,,,,,,
news_1344,4,v2.8,ve,coordinating conjunction,,,,,,,,,,,,,,,
news_1344,5,v2.8,savcılık,noun,dative,plural number,third person,,,,,,,,,,,,
news_1344,6,v2.8,bu,determiner,,,,,,,,,,,,,,,
news_1344,7,v2.8,yön,noun,locative,singular number,third person,,,,,,,,,,,,
news_1344,8,v2.8,yap,verb,,,,,,positive,present tense,,participle,,,passive voice,,,
news_1344,9,v2.8,şikâyet,noun,genitive,plural number,third person,,,,,,,,,,,,
news_1344,10,v2.8,de,coordinating conjunction,,,,,,,,,,,,,,,
news_1344,11,v2.8,azal,adjective,,,,,,,,,,,,,,,
