ID,Form,Lemma,POS,Features,Head,Deprel,UD documentation
67,süsleyerek,süsle,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,,,
68,oluyor,ol,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
69,karşı,karşı,ADV,_,karşıya,advmod,
70,Chate,Chate,NOUN,Case=Loc|Number=Sing|Person=3,,,
71,sevişiyor,seviş,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
72,orada,ora,PRON,Case=Loc|Number=Sing|Person=3,,,
73,bitiyor,bit,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
74,karıştır,karış,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv|Voice=Cau,,,
75,yiyeceğiz,ye,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,,,
76,anahtarla,anahtarla,NOUN,_,,,
77,bunlar,bu,PRON,Case=Nom|Number=Plur|Person=3,arasında,nmod:poss,
78,neden,ne,PRON,Case=Nom|Number=Sing|Person=3,olabilirdi,nsubj,
79,onu,o,PRON,Case=Acc|Number=Sing|Person=3,yok,obj,
80,onu,o,PRON,Case=Acc|Number=Sing|Person=3,,,
81,delil,delil,ADJ,Case=Nom|Number=Sing|Person=3,,,
82,olan,ol,ADP,_,sefiri,case,
83,akıyor,ak,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,root,root,
84,saklar,sakla,NOUN,_,root,root,
85,yeri,yer,NOUN,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3,,,
86,adamadan,ada,VERB,Case=Abl|Number=Sing|Person=3|Polarity=Pos|Voice=Pass,olanaksız,advcl,
87,kendi,kendi,PRON,_,,,
88,varsın,var,VERB,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|Polarity=Pos|Tense=Pres,root,root,
89,sevmek,sev,NOUN,_,,,
90,kim,kim,PRON,Case=Nom|Number=Sing|Person=3,koydu,nsubj,
91,gide,Gide,ADV,_,,,
92,yapmaya,yap,VERB,Case=Dat|Number=Sing|Person=3|Polarity=Pos,yemeye,conj,
93,örnek,örnek,ADV,_,yerler,advmod,
94,araştırma,araştır,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos,Raporu,nmod:poss,
95,soğutursunuz,soğut,VERB,Mood=Imp|Number=Plur|Person=2|Polarity=Pos,,,
96,yırtılması,yırt,VERB,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos|Voice=Pass,,,
97,tutmak,tut,NOUN,_,,,
98,yakalayan,yakala,ADJ,_,,,
99,öpen,öp,ADJ,_,,,
100,unutulan,unut,INTJ,_,değerlerimize,acl,
101,saymak,say,NOUN,_,özen,nsubj,
102,kalabalık,kalabalık,ADV,_,,,
103,savaşacaksınız,savaş,VERB,Aspect=Imp|Number=Plur|Person=2|Polarity=Pos|Tense=Fut,,,
104,derinden,deri,ADJ,Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=2,borçluyuz,obl,
105,bağlandı,bağla,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos|Voice=Pass,halatı,nmod:poss,
106,kalkmak,kalk,NOUN,_,,,
107,geliyor,gel,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
108,iş,iş,ADV,_,,,
109,kus,kus,PROPN,_,gelebilir,nsubj,
110,yapabileceğim,yap,VERB,Aspect=Imp|Mood=Pot|Number=Sing|Person=1|Polarity=Pos|Tense=Fut,şey,acl,
111,edilmeyecek,et,VERB,Aspect=Imp|Number=Sing|Person=3|Polarity=Neg|Tense=Fut|Voice=Pass,Kabul,compound:lvc,
112,istiyor,iste,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
113,yapacakları,yap,VERB,Aspect=Imp|Case=Nom|Number=Sing|Number[psor]=Plur|Person=3|Person[psor]=3|Polarity=Pos|Tense=Fut|VerbForm=Part,kestirilemez,nsubj,
114,etmek,et,NOUN,_,,,
115,çıkılarak,çık,VERB,Polarity=Pos,karşılandı,advcl,
116,uçak,uç,NOUN,_,,,
117,nerede,nere,PRON,Case=Loc|Number=Sing|Person=3,,,
118,varacağı,var,VERB,Aspect=Imp|Number[psor]=Sing|Person[psor]=3|Polarity=Pos|Tense=Fut|VerbForm=Part,sonuç,acl,
119,"""Burada","""Bura",NOUN,Case=Loc|Number=Sing|Person=3,yaşamış,obl,
120,uman,um,ADJ,_,futbolcuların,discourse,
121,yapıyorsunuz,yap,VERB,Aspect=Prog|Number=Plur|Person=2|Polarity=Pos|Tense=Pres,,,
122,sıkarak,sık,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,,,
123,hayat(I),hayat(I),NOUN,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3,,,
124,gece,gece,ADV,_,,,
125,dolandan,dol,NOUN,_,yalandan,compound:redup,
126,siz,siz,PRON,Case=Nom|Number=Plur|Person=2,,,
127,bulunmaz,bula,VERB,Polarity=Neg,,,
128,olan,ol,PRON,_,,,
129,koy,koy,VERB,Case=Nom|Number=Sing|Person=3,hazırla,conj,
130,düşünmenin,düşün,NOUN,Case=Gen|Number=Sing|Person=3,,,
131,yürütme,yürü,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos|Voice=Cau,,,
132,senin,sen,PRON,Case=Gen|Number=Sing|Person=2,kocanın,nmod:poss,
133,bulundurmak,bulun,NOUN,_,göz,compound,
134,söndürme,sön,VERB,Case=Nom|Polarity=Pos|Voice=Cau,,,
135,oyuncak,oyuncak,CCONJ,_,almaya,obj,
136,ucuz,ucuz,ADV,_,,,
137,masa,masa,NOUN,Case=Nom|Number=Sing|Person=3,,,
138,bakılırsa,bak,VERB,Aspect=Hab|Mood=Cnd|Number=Sing|Person=3|Polarity=Pos|Tense=Pres|Voice=Pass,,,
139,olduğuyla,ol,NOUN,Case=Ins|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos,mensup,compound:lvc,
140,Kâmile,Kâmile,CCONJ,_,,,
141,etkileyebilecek,etkile,VERB,Aspect=Imp|Mood=Pot|Number=Sing|Person=3|Polarity=Pos|Tense=Fut,,,
142,okumak,oku,NOUN,Case=Nom|Number=Sing|Person=3|Polarity=Pos,olmalıdır,nsubj,
143,bizden,biz,PRON,Case=Abl|Number=Plur|Person=1,,,
144,yayılarak,yay,VERB,Polarity=Pos|Voice=Pass,boğdular,advcl,
145,Yusuf,Yusuf,NOUN,Case=Nom|Number=Sing|Person=3,yakalayıp,obj,
146,ne,ne,PRON,Case=Nom|Number=Sing|Person=3,II,nmod,
147,oynayacağım,oyna,VERB,Aspect=Imp|Number=Sing|Person=1|Polarity=Pos|Tense=Fut,,,
148,gölgeler,Gölge,NOUN,Case=Nom|Number=Plur|Person=3,düşürür,obj,
149,kusan,kus,NUM,_,kişinin,acl,
150,istek,istek,ADV,_,,,
