ID,Form,Lemma,POS,Features,Head,Deprel,UD documentation
34,edilmende,et,VERB,Case=Dat|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=2|Polarity=Pos|Voice=Pass,yad,compound:lvc,
35,orayı,ora,PRON,Case=Acc|Number=Sing|Person=3,,,
36,eğitim,eğitim,NOUN,Case=Nom|Number=Sing|Person=3,gören,obj,
37,seni,sen,PRON,Case=Acc|Number=Sing|Person=2,gönderip,obj,
38,neden,neden,ADV,_,,,
39,istemiyorum,iste,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Neg|Tense=Pres,root,root,
40,bizler,biz,PRON,Case=Nom|Number=Plur|Person=1,,,
41,not,not,NOUN,Case=Nom|Number=Sing|Person=3,,,
42,buna,bu,PRON,Case=Dat|Number=Sing|Person=3,,,
43,bilinen,bil,NOUN,_,sözler,acl,
44,tanı,tanı,NOUN,_,yazarız,obl,
45,onun,o,PRON,Case=Gen|Number=Sing|Person=3,,,
46,sizlerin,siz,PRON,Case=Gen|Number=Plur|Person=2,bildiğiniz,nsubj,
47,çıkmış,çık,VERB,Evident=Nfh|Number=Sing|Person=3|Polarity=Pos|Tense=Past,görünüyor,csubj,
48,istemek,iste,NOUN,_,root,root,
49,gitmek,git,NOUN,_,,,
50,kılacağım,kıl,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,root,root,
51,etmek,et,NOUN,_,,,
52,bulunan,bulun,PRON,_,,,
53,gözler,göz,NOUN,Case=Nom|Number=Plur|Person=3,root,root,
54,beni,ben,PRON,Case=Acc|Number=Sing|Person=1,,,
55,bakılmayacak,bak,VERB,Aspect=Imp|Polarity=Pos|Tense=Fut|VerbForm=Part|Voice=Pass,olursa,obj,
56,olacağız,ol,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,,,
57,sos,sos,NOUN,Case=Nom|Number=Sing|Person=3,kalınlaştırmada,obj,
58,iniyor,in,VERB,Aspect=Prog|Number=Sing|Person=1|Polarity=Pos|Tense=Pres,duruyor,conj,
59,giyen,giy,ADJ,_,root,root,
60,atıldı,at,VERB,Aspect=Perf|Evident=Fh|Number=Sing|Person=3|Polarity=Pos|Tense=Past|Voice=Pass,,,
61,üstlenmekten,üstlen,VERB,Case=Abl|Polarity=Pos,,,
62,poz,poz,NOUN,Case=Nom|Number=Sing|Person=3,VERİR,obj,
63,kola,kola,VERB,Case=Nom|Number=Sing|Person=3,kol,compound:redup,
64,el,el,NOUN,Case=Nom|Number=Sing|Person=3,,,
65,hazırla,hazırla,ADJ,_,root,root,
66,anahtarla,anahtarla,NOUN,_,açar,nmod,
67,süsleyip,süsle,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,,,
68,olmakta,ol,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
69,karşı,karşı,ADV,_,karşıya,advmod,
70,Chateden,Chate,NOUN,Case=Loc|Number=Sing|Person=3,,,
71,sevişiyor,seviş,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
72,orada,ora,PRON,Case=Loc|Number=Sing|Person=3,,,
73,bitmiyor,bit,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
74,karıştırıp,karış,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv|Voice=Cau,,,
75,yiyeceğim,ye,VERB,Aspect=Imp|Number=Plur|Person=1|Polarity=Pos|Tense=Fut,,,
76,anahtarla,anahtarla,NOUN,_,,,
77,bunlar,bu,PRON,Case=Nom|Number=Plur|Person=3,arasında,nmod:poss,
78,ne,ne,PRON,Case=Nom|Number=Sing|Person=3,olabilirdi,nsubj,
79,onu,o,PRON,Case=Acc|Number=Sing|Person=3,yok,obj,
80,onu,o,PRON,Case=Acc|Number=Sing|Person=3,,,
81,delil,delil,ADJ,Case=Nom|Number=Sing|Person=3,,,
82,olarak,ol,ADP,_,sefiri,case,
83,akıyor,ak,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,root,root,
84,saklamak,sakla,NOUN,_,root,root,
85,yeri,yer,NOUN,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3,,,
86,adanmaktan,ada,VERB,Case=Abl|Number=Sing|Person=3|Polarity=Pos|Voice=Pass,olanaksız,advcl,
87,kendi,kendi,PRON,_,,,
88,varsın,var,VERB,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|Polarity=Pos|Tense=Pres,root,root,
89,sevmek,sev,NOUN,_,,,
90,kim,kim,PRON,Case=Nom|Number=Sing|Person=3,koydu,nsubj,
91,Gide,Gide,ADV,_,,,
92,yapmaya,yap,VERB,Case=Dat|Number=Sing|Person=3|Polarity=Pos,yemeye,conj,
93,örnek,örnek,ADV,_,yerler,advmod,
94,araştırma,araştır,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos,Raporu,nmod:poss,
95,soğutsunlar,soğut,VERB,Mood=Imp|Number=Plur|Person=2|Polarity=Pos,,,"lemma ""soğu"" olmalı"
96,yırtılması,yırt,VERB,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos|Voice=Pass,,,
97,tutmak,tut,NOUN,_,,,
98,yakala,yakala,ADJ,_,,,
99,öp,öp,ADJ,_,,,
100,unutulan,unut,INTJ,_,değerlerimize,acl,
101,saymaya,say,NOUN,_,özen,nsubj,
102,kalabalık,kalabalık,ADV,_,,,
103,savaşacaksınız,savaş,VERB,Aspect=Imp|Number=Plur|Person=2|Polarity=Pos|Tense=Fut,,,
104,derinden,deri,ADJ,Case=Abl|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=2,borçluyuz,obl,"bence lemma ""derin"" olmalı"
105,bağlanma,bağla,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos|Voice=Pass,halatı,nmod:poss,
106,kalkış,kalk,NOUN,_,,,
107,gelmekte,gel,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
108,iş,iş,ADV,_,,,
109,kus,kus,PROPN,_,gelebilir,nsubj,
110,yapabileceğim,yap,VERB,Aspect=Imp|Mood=Pot|Number=Sing|Person=1|Polarity=Pos|Tense=Fut,şey,acl,
111,edilmeyecek,et,VERB,Aspect=Imp|Number=Sing|Person=3|Polarity=Neg|Tense=Fut|Voice=Pass,Kabul,compound:lvc,
112,istiyor,iste,VERB,Aspect=Prog|Number=Sing|Person=3|Polarity=Pos|Tense=Pres,,,
113,yapacakları,yap,VERB,Aspect=Imp|Case=Nom|Number=Sing|Number[psor]=Plur|Person=3|Person[psor]=3|Polarity=Pos|Tense=Fut|VerbForm=Part,kestirilemez,nsubj,
114,etmek,et,NOUN,_,,,
115,çık,çık,VERB,Polarity=Pos,karşılandı,advcl,
116,uçuş,uç,NOUN,_,,,
117,nerede,nere,PRON,Case=Loc|Number=Sing|Person=3,,,
118,varacağı,var,VERB,Aspect=Imp|Number[psor]=Sing|Person[psor]=3|Polarity=Pos|Tense=Fut|VerbForm=Part,sonuç,acl,
119,"""Burada","""Bura",NOUN,Case=Loc|Number=Sing|Person=3,yaşamış,obl,
120,um,um,ADJ,_,futbolcuların,discourse,
121,yapıyoruz,yap,VERB,Aspect=Prog|Number=Plur|Person=2|Polarity=Pos|Tense=Pres,,,
122,sıkıp,sık,VERB,Mood=Imp|Polarity=Pos|VerbForm=Conv,,,
123,hayat(I)ı,hayat(I),NOUN,Case=Nom|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3,,,
124,gece,gece,ADV,_,,,
125,dolandan,dol,NOUN,_,yalandan,compound:redup,
126,sizler,siz,PRON,Case=Nom|Number=Plur|Person=2,,,
127,bulamaz,bula,VERB,Polarity=Neg,,,
128,olan,ol,PRON,_,,,
129,koy,koy,VERB,Case=Nom|Number=Sing|Person=3,hazırla,conj,
130,düşünmenin,düşün,NOUN,Case=Gen|Number=Sing|Person=3,,,
131,yürütmek,yürü,VERB,Case=Nom|Number=Sing|Person=3|Polarity=Pos|Voice=Cau,,,
132,senin,sen,PRON,Case=Gen|Number=Sing|Person=2,kocanın,nmod:poss,
133,bulunan,bulun,NOUN,_,göz,compound,
134,söndürmek,sön,VERB,Case=Nom|Polarity=Pos|Voice=Cau,,,
135,oyuncak,oyuncak,CCONJ,_,almaya,obj,
136,ucuz,ucuz,ADV,_,,,
137,masa,masa,NOUN,Case=Nom|Number=Sing|Person=3,,,
138,bakılırsa,bak,VERB,Aspect=Hab|Mood=Cnd|Number=Sing|Person=3|Polarity=Pos|Tense=Pres|Voice=Pass,,,
139,olmasıyla,ol,NOUN,Case=Ins|Number=Sing|Number[psor]=Sing|Person=3|Person[psor]=3|Polarity=Pos,mensup,compound:lvc,
140,Kâmile,Kâmile,CCONJ,_,,,
141,etkileyebilecek,etkile,VERB,Aspect=Imp|Mood=Pot|Number=Sing|Person=3|Polarity=Pos|Tense=Fut,,,
142,okumak,oku,NOUN,Case=Nom|Number=Sing|Person=3|Polarity=Pos,olmalıdır,nsubj,
143,bizlerden,biz,PRON,Case=Abl|Number=Plur|Person=1,,,
144,yayılıp,yay,VERB,Polarity=Pos|Voice=Pass,boğdular,advcl,
145,Yusuf,Yusuf,NOUN,Case=Nom|Number=Sing|Person=3,yakalayıp,obj,
146,ne,ne,PRON,Case=Nom|Number=Sing|Person=3,II,nmod,
147,oynayacağım,oyna,VERB,Aspect=Imp|Number=Sing|Person=1|Polarity=Pos|Tense=Fut,,,
148,Gölgeler,Gölge,NOUN,Case=Nom|Number=Plur|Person=3,düşürür,obj,
149,kus,kus,NUM,_,kişinin,acl,
150,istek,istek,ADV,_,,,
