sent_id,id,tb,lemma,pos,case,number,person,mood,polarity,tense,evidentiality,verb form,aspect,pronominal type,possessor's person,possessor's number,voice,numeral type,reflexivity
bio_1401,1,v2.8,ama,coordinating conjunction,,,,,,,,,,,,,,,
bio_1401,2,v2.8,on,numeral,,,,,,,,,,,,,,cardinal number,
bio_1401,3,v2.8,üç,numeral,,,,,,,,,,,,,,cardinal number,
bio_1401,4,v2.8,on,numeral,,,,,,,,,,,,,,cardinal number,
bio_1401,5,v2.8,dört,numeral,,,,,,,,,,,,,,cardinal number,
bio_1401,6,v2.8,yaş,verb,nominative,,,indicative,positive,present tense,,verbal noun,perfect aspect,,,,,,
bio_1401,7,v2.8,gel,verb,locative,singular number,third person,,positive,past tense,,participle,perfect aspect,,first person,singular number,,,
bio_1401,8,v2.8,",",punctuation,,,,,,,,,,,,,,,
bio_1401,9,v2.8,gen,adverb,,,,,,,,,,,,,,,
bio_1401,10,v2.8,ev,noun,locative,singular number,third person,,,,,,,,,,,,
bio_1401,11,v2.8,konuş,noun,ablative,plural number,third person,,positive,,,,,,,,,,
bio_1401,12,v2.8,",",punctuation,,,,,,,,,,,,,,,
bio_1401,13,v2.8,bil,verb,,singular number,first person,,positive,past tense,first hand,,progressive aspect,,,,,,
bio_1401,14,v2.8,bu,pronoun,genitive,plural number,third person,,,,,,,,,,,,
bio_1401,15,v2.8,ol,verb,accusative,singular number,third person,,positive,past tense,,participle,perfect aspect,,third person,singular number,,,
bio_1401,16,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_902,1,v2.8,bu,pronoun,accusative,singular number,third person,,,,,,,,,,,,
bio_902,2,v2.8,de,verb,nominative,plural number,third person,,positive,present tense,,participle,,,,,,,
bio_902,3,v2.8,"""",punctuation,,,,,,,,,,,,,,,
bio_902,4,v2.8,Anadolu,proper noun,nominative,singular number,third person,,,,,,,,,,,,
bio_902,5,v2.8,çocuk,noun,nominative,plural number,third person,,,,,,,,third person,singular number,,,
bio_902,6,v2.8,"""",punctuation,,,,,,,,,,,,,,,
bio_902,7,v2.8,.,punctuation,,,,,,,,,,,,,,,
bio_531,1,v2.11,küçük,adjective,,,,,,,,,,,,,,,
bio_531,2,v2.11,çan,noun,dative,plural number,third person,,,,,,,,,,,,
bio_531,3,v2.11,çocuk,noun,nominative,plural number,third person,,,,,,,,,,,,
bio_531,4,v2.11,as,verb,,plural number,third person,,positive,past tense,non-first hand,,perfect aspect,,,,passive voice,,
bio_531,5,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_531,6,v2.11,o,pronoun,accusative,plural number,third person,,,,,,,personal,,,,,
bio_531,7,v2.11,kendi,pronoun,dative,plural number,third person,,,,,,,,third person,plural number,,,reflexive
bio_531,8,v2.11,salıncak,noun,accusative,singular number,third person,,,,,,,,,,,,
bio_531,9,v2.11,yap,verb,,,,,positive,past tense,,,perfect aspect,,,,,,
bio_531,10,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_531,11,v2.11,salla,verb,,singular number,third person,generalized modality,positive,present tense,,,progressive aspect,,,,passive voice,,
bio_531,12,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_36,1,v2.8,sonra,adverb,,,,,,,,,,,,,,,
ess_36,2,v2.8,da,coordinating conjunction,,,,,,,,,,,,,,,
ess_36,3,v2.8,yaş,verb,dative,singular number,third person,,,,,,,,,,,,
ess_36,4,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_36,5,v2.8,de,verb,,singular number,second person,,positive,present tense,,,progressive aspect,,,,,,
ess_36,6,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_36,1,v2.11,sonra,adverb,,,,,,,,,,,,,,,
ess_36,2,v2.11,da,particle,,,,,,,,,,,,,,,
ess_36,3,v2.11,yaşa,verb,,singular number,second person,imperative,positive,,,,,,,,,,
ess_36,4,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_36,5,v2.11,de,verb,,singular number,second person,,positive,present tense,,,imperfect aspect,,,,,,
ess_36,6,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_1244,1,v2.8,ya,coordinating conjunction,,,,,,,,,,,,,,,
ess_1244,2,v2.8,da,coordinating conjunction,,,,,,,,,,,,,,,
ess_1244,3,v2.8,o,pronoun,accusative,singular number,third person,,,,,,,,,,,,
ess_1244,4,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_1244,5,v2.8,paketle,noun,,,,,,,,,,,,,,,
ess_1244,6,v2.8,"""",punctuation,,,,,,,,,,,,,,,
ess_1244,7,v2.8,bir,numeral,,,,,,,,,,,,,,cardinal number,
ess_1244,8,v2.8,bakım,noun,dative,singular number,third person,,,,,,,,,,,,
ess_1244,9,v2.8,...,punctuation,,,,,,,,,,,,,,,
ins_199,1,v2.11,iç,noun,dative,singular number,third person,,,,,,,,first person,plural number,,,
ins_199,2,v2.11,doy,verb,,singular number,third person,optative,positive,,,,,,,,,,
ins_199,3,v2.11,doy,verb,,singular number,third person,optative,positive,,,,,,,,,,
ins_199,4-5,v2.11,,,,,,,,,,,,,,,,,
ins_199,4,v2.11,çek,verb,,plural number,first person,,positive,,,participle,habitual aspect,,,,,,
ins_199,5,v2.11,y,auxiliary verb,,plural number,first person,,positive,present tense,first hand,,habitual aspect,,,,,,
ins_199,6,v2.11,bu,determiner,,,,,,,,,,,,,,,
ins_199,7,v2.11,var,noun,,singular number,third person,,positive,,,,,,,,,,
ins_199,8,v2.11,ol,verb,genitive,singular number,third person,,positive,,,verbal noun,,,,,,,
ins_199,9,v2.11,koku,noun,accusative,singular number,third person,,,,,,,,third person,singular number,,,
ins_199,10,v2.11,.,punctuation,,,,,,,,,,,,,,,
ins_1051,1,v2.8,TUBİTAK,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1051,2,v2.8,:,punctuation,,,,,,,,,,,,,,,
ins_1051,3,v2.8,alan,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1051,4,v2.8,ad(I),noun,accusative,singular number,third person,,,,,,,,third person,singular number,,,
ins_1051,5,v2.8,göster,verb,,singular number,third person,,positive,present tense,,,habitual aspect,,,,,,
ins_1051,6,v2.8,.,punctuation,,,,,,,,,,,,,,,
ins_1051,1,v2.11,TUBİTAK,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1051,2,v2.11,:,punctuation,,,,,,,,,,,,,,,
ins_1051,3,v2.11,alan,noun,nominative,singular number,third person,,,,,,,,,,,,
ins_1051,4,v2.11,ad,noun,accusative,singular number,third person,,,,,,,,third person,singular number,,,
ins_1051,5,v2.11,göster,verb,,singular number,third person,,positive,present tense,,,habitual aspect,,,,,,
ins_1051,6,v2.11,.,punctuation,,,,,,,,,,,,,,,
pop_315,1,v2.8,"""",punctuation,,,,,,,,,,,,,,,
pop_315,2,v2.8,anne,noun,nominative,plural number,third person,,,,,,,,,,,,
pop_315,3,v2.8,"Günü""n",noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
pop_315,4,v2.8,gerek,adjective,nominative,singular number,third person,,,,,,,,,,,,
pop_315,5,v2.8,gör,noun,,,,,,,,,,,,,,,
pop_315,6,v2.8,",",punctuation,,,,,,,,,,,,,,,
pop_315,7,v2.8,o,determiner,,,,,,,,,,,,,,,
pop_315,8,v2.8,gün,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_315,9,v2.8,gel,verb,,singular number,third person,,positive,past tense,first hand,,perfect aspect,,,,,,
pop_315,10,v2.8,mi,auxiliary verb,,singular number,third person,,,present tense,,,imperfect aspect,,,,,,
pop_315,11,v2.8,fark,noun,locative,singular number,third person,,,,,,,,third person,singular number,,,
pop_315,12,v2.8,değ,verb,,singular number,third person,,positive,past tense,non-first hand,,,,,,passive voice,,
pop_315,13,v2.8,hava,noun,dative,plural number,third person,,,,,,,,third person,singular number,,,
pop_315,14,v2.8,gir,verb,,singular number,third person,,positive,present tense,first hand,,habitual aspect,,,,,,
pop_315,15,v2.8,.,punctuation,,,,,,,,,,,,,,,
pop_315,1,v2.11,"""",punctuation,,,,,,,,,,,,,,,
pop_315,2,v2.11,anne,noun,nominative,plural number,third person,,,,,,,,,,,,
pop_315,3,v2.11,"Günü""n",noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
pop_315,4,v2.11,gerek,adjective,,,,,,,,,,,,,,,
pop_315,5,v2.11,gör,verb,ablative,singular number,third person,,positive,past tense,,participle,perfect aspect,,third person,singular number,,,
pop_315,6,v2.11,",",punctuation,,,,,,,,,,,,,,,
pop_315,7,v2.11,o,determiner,,,,,,,,,,,,,,,
pop_315,8,v2.11,gün,noun,nominative,singular number,third person,,,,,,,,,,,,
pop_315,9,v2.11,gel,verb,,singular number,third person,,positive,past tense,first hand,,perfect aspect,,,,,,
pop_315,10,v2.11,mi,auxiliary verb,,singular number,third person,,,present tense,,,imperfect aspect,,,,,,
pop_315,11,v2.11,fark,noun,locative,singular number,third person,,,,,,,,third person,singular number,,,
pop_315,12,v2.11,değ,verb,,singular number,third person,,positive,past tense,non-first hand,,,,,,passive voice,,
pop_315,13,v2.11,hava,noun,dative,plural number,third person,,,,,,,,third person,singular number,,,
pop_315,14,v2.11,gir,verb,,singular number,third person,,positive,present tense,first hand,,habitual aspect,,,,,,
pop_315,15,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1210,1,v2.11,ben,pronoun,dative,singular number,first person,,,,,,,personal,,,,,
bio_1210,2,v2.11,dön,verb,,,,,positive,,,converb,,,,,,,
bio_1210,3,v2.11,",",punctuation,,,,,,,,,,,,,,,
bio_1210,4,v2.11,Afer,interjection,,,,,,,,,,,,,,,
bio_1210,5,v2.11,LAN,interjection,,,,,,,,,,,,,,,
bio_1210,6,v2.11,güzel,adjective,,,,,,,,,,,,,,,
bio_1210,7,v2.11,iş,noun,accusative,singular number,third person,,,,,,,,,,,,
bio_1210,8-9,v2.11,,,,,,,,,,,,,,,,,
bio_1210,8,v2.11,becer,verb,,,,,positive,,,participle,habitual aspect,,,,,,
bio_1210,9,v2.11,y,auxiliary verb,,singular number,second person,,positive,past tense,first hand,,,,,,,,
bio_1210,10,v2.11,...,punctuation,,,,,,,,,,,,,,,
ess_1248,1,v2.8,bırak,verb,,singular number,third person,,negative,present tense,,,habitual aspect,,,,,,
ess_1248,2,v2.8,de,noun,,,,,,,,,,,,,,,
ess_1248,3,v2.8,çok,noun,ablative,singular number,third person,,,,,,,,,,,,
ess_1248,4,v2.8,TERKETTİ,verb,,singular number,third person,indicative,positive,past tense,,,perfect aspect,,,,causative voice,,
ess_1248,5,v2.8,",",punctuation,,,,,,,,,,,,,,,
ess_1248,6,v2.8,git,verb,,singular number,third person,,negative,present tense,,,habitual aspect,,,,,,
ess_1248,7,v2.8,sandık,verb,nominative,plural number,third person,,,,,,,,first person,singular number,,,
ess_1248,8,v2.8,MEÇHUL,proper noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1248,9,v2.8,.,punctuation,,,,,,,,,,,,,,,
ess_1248,1,v2.11,bırak,verb,,singular number,third person,,negative,present tense,,participle,habitual aspect,,,,,,
ess_1248,2,v2.11,de,verb,nominative,plural number,third person,,positive,past tense,,participle,perfect aspect,,first person,singular number,,,
ess_1248,3,v2.11,çok,noun,ablative,singular number,third person,,,,,,,,,,,,
ess_1248,4,v2.11,TERKETTİ,verb,,singular number,third person,indicative,positive,past tense,,,perfect aspect,,,,causative voice,,
ess_1248,5,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_1248,6,v2.11,git,verb,,singular number,third person,,negative,present tense,,participle,habitual aspect,,,,,,
ess_1248,7,v2.11,sandık,verb,nominative,plural number,third person,,,,,,,,first person,singular number,,,
ess_1248,8,v2.11,MEÇHUL,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1248,9,v2.11,.,punctuation,,,,,,,,,,,,,,,
ess_1197,1,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_1197,2,v2.11,inan,verb,,singular number,second person,imperative,positive,,,,,,,,,,
ess_1197,3,v2.11,ben,pronoun,accusative,singular number,first person,,,,,,,personal,,,,,
ess_1197,4,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_1197,5,v2.11,de,verb,,singular number,third person,,positive,present tense,,,imperfect aspect,,,,,,
ess_1197,6,v2.11,",",punctuation,,,,,,,,,,,,,,,
ess_1197,7,v2.11,"""",punctuation,,,,,,,,,,,,,,,
ess_1197,8,v2.11,o,noun,nominative,singular number,third person,,,,,,,,,,,,
ess_1197,9-10,v2.11,,,,,,,,,,,,,,,,,
ess_1197,9,v2.11,yaşa,verb,,,,,positive,present tense,,participle,habitual aspect,,,,,,
ess_1197,10,v2.11,y,auxiliary verb,,singular number,third person,conditional,positive,,,,,,,,,,
ess_1197,11,v2.11,san,pronoun,dative,singular number,third person,,,,,,,personal,,,,,
ess_1197,12,v2.11,inan,verb,,singular number,first person,,positive,future tense,,,prospective aspect,,,,,,
ess_1197,13,v2.11,.,punctuation,,,,,,,,,,,,,,,
bio_1762,1,v2.11,Mahmut,proper noun,genitive,singular number,third person,,,,,,,,,,,,
bio_1762,2,v2.11,düzen,noun,nominative,singular number,third person,,,,,,,,third person,singular number,,,
bio_1762,3-4,v2.11,,,,,,,,,,,,,,,,,
bio_1762,3,v2.11,boz,verb,,,,,positive,,,participle,habitual aspect,,,,,,
bio_1762,4,v2.11,y,auxiliary verb,,singular number,third person,,positive,past tense,first hand,,,,,,,,
